combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
115,0.72,0.71,0.5,0.1,4,100,10
116,0.71,0.7,0.5,0.1,4,200,10
117,0.73,0.72,0.5,0.1,7,100,10
118,0.71,0.71,0.5,0.1,7,200,10
119,0.73,0.72,0.5,0.1,10,100,10
120,0.71,0.71,0.5,0.1,10,200,10
121,0.72,0.72,0.5,0.15,4,100,10
122,0.71,0.71,0.5,0.15,4,200,10
123,0.73,0.73,0.5,0.15,7,100,10
124,0.72,0.71,0.5,0.15,7,200,10
125,0.73,0.73,0.5,0.15,10,100,10
126,0.72,0.72,0.5,0.15,10,200,10
127,0.7,0.69,0.5,0.001,4,100,50
128,0.69,0.68,0.5,0.001,4,200,50
129,0.71,0.7,0.5,0.001,7,100,50
130,0.7,0.69,0.5,0.001,7,200,50
131,0.71,0.7,0.5,0.001,10,100,50
132,0.7,0.69,0.5,0.001,10,200,50
133,0.75,0.75,0.5,0.1,4,100,50
134,0.74,0.74,0.5,0.1,4,200,50
135,0.76,0.75,0.5,0.1,7,100,50
136,0.75,0.74,0.5,0.1,7,200,50
137,0.76,0.75,0.5,0.1,10,100,50
138,0.75,0.74,0.5,0.1,10,200,50
139,0.76,0.76,0.5,0.15,4,100,50
140,0.75,0.74,0.5,0.15,4,200,50
141,0.77,0.76,0.5,0.15,7,100,50
142,0.76,0.75,0.5,0.15,7,200,50
143,0.77,0.76,0.5,0.15,10,100,50
144,0.76,0.75,0.5,0.15,10,200,50
145,0.7,0.69,0.5,0.001,4,100,100
146,0.69,0.69,0.5,0.001,4,200,100
147,0.71,0.71,0.5,0.001,7,100,100
148,0.7,0.69,0.5,0.001,7,200,100
149,0.71,0.71,0.5,0.001,10,100,100
150,0.7,0.69,0.5,0.001,10,200,100
151,0.77,0.76,0.5,0.1,4,100,100
152,0.76,0.75,0.5,0.1,4,200,100
153,0.78,0.77,0.5,0.1,7,100,100
154,0.76,0.75,0.5,0.1,7,200,100
155,0.78,0.76,0.5,0.1,10,100,100
156,0.76,0.75,0.5,0.1,10,200,100
157,0.77,0.77,0.5,0.15,4,100,100
158,0.76,0.75,0.5,0.15,4,200,100
159,0.78,0.77,0.5,0.15,7,100,100
160,0.76,0.76,0.5,0.15,7,200,100
161,0.78,0.77,0.5,0.15,10,100,100
162,0.77,0.76,0.5,0.15,10,200,100
