combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
126,0.73,0.72,0.3,0.1,4,100,50
127,0.74,0.73,0.3,0.15,2,1,50
128,0.74,0.73,0.3,0.15,2,10,50
129,0.73,0.72,0.3,0.15,2,100,50
130,0.76,0.75,0.3,0.15,3,1,50
131,0.76,0.75,0.3,0.15,3,10,50
132,0.74,0.74,0.3,0.15,3,100,50
133,0.78,0.76,0.3,0.15,4,1,50
134,0.77,0.76,0.3,0.15,4,10,50
135,0.75,0.74,0.3,0.15,4,100,50
136,0.65,0.65,0.3,0.001,2,1,100
137,0.65,0.65,0.3,0.001,2,10,100
138,0.64,0.64,0.3,0.001,2,100,100
139,0.66,0.66,0.3,0.001,3,1,100
140,0.66,0.66,0.3,0.001,3,10,100
141,0.66,0.65,0.3,0.001,3,100,100
142,0.68,0.67,0.3,0.001,4,1,100
143,0.67,0.67,0.3,0.001,4,10,100
144,0.66,0.66,0.3,0.001,4,100,100
145,0.75,0.75,0.3,0.1,2,1,100
146,0.75,0.74,0.3,0.1,2,10,100
147,0.74,0.73,0.3,0.1,2,100,100
148,0.77,0.76,0.3,0.1,3,1,100
149,0.77,0.76,0.3,0.1,3,10,100
150,0.75,0.74,0.3,0.1,3,100,100
151,0.78,0.77,0.3,0.1,4,1,100
152,0.78,0.77,0.3,0.1,4,10,100
153,0.76,0.75,0.3,0.1,4,100,100
154,0.76,0.76,0.3,0.15,2,1,100
155,0.76,0.76,0.3,0.15,2,10,100
156,0.75,0.75,0.3,0.15,2,100,100
157,0.78,0.77,0.3,0.15,3,1,100
158,0.78,0.77,0.3,0.15,3,10,100
159,0.76,0.76,0.3,0.15,3,100,100
160,0.79,0.77,0.3,0.15,4,1,100
161,0.79,0.77,0.3,0.15,4,10,100
162,0.77,0.76,0.3,0.15,4,100,100
163,0.68,0.67,0.5,0.001,2,1,10
164,0.68,0.68,0.5,0.001,2,10,10
165,0.68,0.67,0.5,0.001,2,100,10
166,0.7,0.69,0.5,0.001,3,1,10
167,0.7,0.69,0.5,0.001,3,10,10
168,0.69,0.69,0.5,0.001,3,100,10
169,0.72,0.72,0.5,0.001,4,1,10
170,0.72,0.71,0.5,0.001,4,10,10
171,0.7,0.69,0.5,0.001,4,100,10
172,0.7,0.7,0.5,0.1,2,1,10
173,0.7,0.69,0.5,0.1,2,10,10
174,0.7,0.69,0.5,0.1,2,100,10
175,0.72,0.71,0.5,0.1,3,1,10
176,0.71,0.71,0.5,0.1,3,10,10
177,0.71,0.7,0.5,0.1,3,100,10
178,0.73,0.73,0.5,0.1,4,1,10
179,0.73,0.72,0.5,0.1,4,10,10
180,0.72,0.71,0.5,0.1,4,100,10
181,0.7,0.7,0.5,0.15,2,1,10
182,0.7,0.7,0.5,0.15,2,10,10
183,0.7,0.7,0.5,0.15,2,100,10
184,0.72,0.71,0.5,0.15,3,1,10
185,0.72,0.72,0.5,0.15,3,10,10
186,0.71,0.71,0.5,0.15,3,100,10
187,0.74,0.73,0.5,0.15,4,1,10
188,0.74,0.73,0.5,0.15,4,10,10
189,0.72,0.72,0.5,0.15,4,100,10
190,0.68,0.67,0.5,0.001,2,1,50
191,0.68,0.67,0.5,0.001,2,10,50
192,0.68,0.67,0.5,0.001,2,100,50
193,0.7,0.69,0.5,0.001,3,1,50
194,0.7,0.69,0.5,0.001,3,10,50
195,0.69,0.68,0.5,0.001,3,100,50
196,0.72,0.72,0.5,0.001,4,1,50
197,0.72,0.71,0.5,0.001,4,10,50
198,0.7,0.69,0.5,0.001,4,100,50
199,0.74,0.73,0.5,0.1,2,1,50
200,0.74,0.73,0.5,0.1,2,10,50
201,0.73,0.73,0.5,0.1,2,100,50
202,0.76,0.75,0.5,0.1,3,1,50
203,0.76,0.75,0.5,0.1,3,10,50
204,0.74,0.74,0.5,0.1,3,100,50
205,0.77,0.76,0.5,0.1,4,1,50
206,0.77,0.76,0.5,0.1,4,10,50
207,0.75,0.75,0.5,0.1,4,100,50
208,0.75,0.75,0.5,0.15,2,1,50
209,0.75,0.75,0.5,0.15,2,10,50
210,0.74,0.74,0.5,0.15,2,100,50
211,0.77,0.76,0.5,0.15,3,1,50
212,0.77,0.76,0.5,0.15,3,10,50
213,0.76,0.75,0.5,0.15,3,100,50
214,0.78,0.77,0.5,0.15,4,1,50
215,0.78,0.77,0.5,0.15,4,10,50
216,0.76,0.76,0.5,0.15,4,100,50
217,0.68,0.68,0.5,0.001,2,1,100
218,0.68,0.68,0.5,0.001,2,10,100
219,0.68,0.67,0.5,0.001,2,100,100
220,0.7,0.69,0.5,0.001,3,1,100
221,0.7,0.69,0.5,0.001,3,10,100
222,0.69,0.69,0.5,0.001,3,100,100
223,0.72,0.72,0.5,0.001,4,1,100
224,0.72,0.72,0.5,0.001,4,10,100
225,0.7,0.69,0.5,0.001,4,100,100
226,0.76,0.76,0.5,0.1,2,1,100
227,0.76,0.75,0.5,0.1,2,10,100
228,0.75,0.74,0.5,0.1,2,100,100
229,0.78,0.77,0.5,0.1,3,1,100
230,0.77,0.77,0.5,0.1,3,10,100
231,0.76,0.76,0.5,0.1,3,100,100
232,0.79,0.77,0.5,0.1,4,1,100
233,0.78,0.77,0.5,0.1,4,10,100
234,0.77,0.76,0.5,0.1,4,100,100
235,0.77,0.77,0.5,0.15,2,1,100
236,0.77,0.77,0.5,0.15,2,10,100
237,0.76,0.76,0.5,0.15,2,100,100
238,0.79,0.77,0.5,0.15,3,1,100
239,0.78,0.78,0.5,0.15,3,10,100
240,0.77,0.77,0.5,0.15,3,100,100
241,0.8,0.78,0.5,0.15,4,1,100
242,0.79,0.78,0.5,0.15,4,10,100
243,0.77,0.77,0.5,0.15,4,100,100
