combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.61,0.6,0.1,0.001,2,1,10
2,0.61,0.6,0.1,0.001,2,10,10
3,0.61,0.6,0.1,0.001,2,100,10
4,0.61,0.61,0.1,0.001,3,1,10
5,0.61,0.6,0.1,0.001,3,10,10
6,0.61,0.6,0.1,0.001,3,100,10
7,0.61,0.61,0.1,0.001,4,1,10
8,0.61,0.61,0.1,0.001,4,10,10
9,0.61,0.6,0.1,0.001,4,100,10
10,0.63,0.62,0.1,0.1,2,1,10
11,0.63,0.62,0.1,0.1,2,10,10
12,0.62,0.61,0.1,0.1,2,100,10
13,0.63,0.63,0.1,0.1,3,1,10
14,0.63,0.62,0.1,0.1,3,10,10
15,0.62,0.61,0.1,0.1,3,100,10
16,0.63,0.63,0.1,0.1,4,1,10
17,0.63,0.62,0.1,0.1,4,10,10
18,0.62,0.61,0.1,0.1,4,100,10
19,0.64,0.63,0.1,0.15,2,1,10
20,0.64,0.63,0.1,0.15,2,10,10
21,0.63,0.62,0.1,0.15,2,100,10
22,0.64,0.63,0.1,0.15,3,1,10
23,0.64,0.63,0.1,0.15,3,10,10
24,0.63,0.62,0.1,0.15,3,100,10
25,0.64,0.64,0.1,0.15,4,1,10
26,0.64,0.63,0.1,0.15,4,10,10
27,0.63,0.62,0.1,0.15,4,100,10
28,0.61,0.6,0.1,0.001,2,1,50
29,0.61,0.6,0.1,0.001,2,10,50
30,0.61,0.6,0.1,0.001,2,100,50
31,0.61,0.6,0.1,0.001,3,1,50
32,0.61,0.6,0.1,0.001,3,10,50
33,0.61,0.6,0.1,0.001,3,100,50
34,0.61,0.6,0.1,0.001,4,1,50
35,0.61,0.6,0.1,0.001,4,10,50
36,0.61,0.6,0.1,0.001,4,100,50
37,0.67,0.67,0.1,0.1,2,1,50
38,0.67,0.67,0.1,0.1,2,10,50
39,0.66,0.66,0.1,0.1,2,100,50
40,0.68,0.68,0.1,0.1,3,1,50
41,0.68,0.67,0.1,0.1,3,10,50
42,0.67,0.66,0.1,0.1,3,100,50
43,0.69,0.68,0.1,0.1,4,1,50
44,0.68,0.68,0.1,0.1,4,10,50
45,0.67,0.66,0.1,0.1,4,100,50
46,0.7,0.69,0.1,0.15,2,1,50
47,0.69,0.69,0.1,0.15,2,10,50
48,0.68,0.68,0.1,0.15,2,100,50
49,0.71,0.7,0.1,0.15,3,1,50
50,0.7,0.7,0.1,0.15,3,10,50
51,0.69,0.68,0.1,0.15,3,100,50
52,0.71,0.71,0.1,0.15,4,1,50
53,0.71,0.7,0.1,0.15,4,10,50
54,0.69,0.69,0.1,0.15,4,100,50
55,0.61,0.6,0.1,0.001,2,1,100
56,0.61,0.6,0.1,0.001,2,10,100
57,0.61,0.6,0.1,0.001,2,100,100
58,0.61,0.6,0.1,0.001,3,1,100
59,0.61,0.6,0.1,0.001,3,10,100
60,0.61,0.6,0.1,0.001,3,100,100
61,0.61,0.6,0.1,0.001,4,1,100
62,0.61,0.6,0.1,0.001,4,10,100
63,0.61,0.6,0.1,0.001,4,100,100
64,0.71,0.7,0.1,0.1,2,1,100
65,0.71,0.7,0.1,0.1,2,10,100
66,0.7,0.69,0.1,0.1,2,100,100
67,0.72,0.72,0.1,0.1,3,1,100
68,0.72,0.72,0.1,0.1,3,10,100
69,0.7,0.7,0.1,0.1,3,100,100
70,0.73,0.72,0.1,0.1,4,1,100
71,0.73,0.72,0.1,0.1,4,10,100
72,0.71,0.7,0.1,0.1,4,100,100
73,0.73,0.73,0.1,0.15,2,1,100
74,0.73,0.72,0.1,0.15,2,10,100
75,0.72,0.71,0.1,0.15,2,100,100
76,0.74,0.73,0.1,0.15,3,1,100
77,0.74,0.73,0.1,0.15,3,10,100
78,0.72,0.72,0.1,0.15,3,100,100
79,0.75,0.74,0.1,0.15,4,1,100
80,0.75,0.74,0.1,0.15,4,10,100
81,0.73,0.72,0.1,0.15,4,100,100
82,0.67,0.66,0.3,0.001,2,1,10
83,0.66,0.66,0.3,0.001,2,10,10
84,0.65,0.65,0.3,0.001,2,100,10
85,0.67,0.67,0.3,0.001,3,1,10
86,0.67,0.67,0.3,0.001,3,10,10
87,0.67,0.66,0.3,0.001,3,100,10
88,0.69,0.68,0.3,0.001,4,1,10
89,0.68,0.68,0.3,0.001,4,10,10
90,0.67,0.67,0.3,0.001,4,100,10
91,0.68,0.68,0.3,0.1,2,1,10
92,0.68,0.68,0.3,0.1,2,10,10
93,0.67,0.67,0.3,0.1,2,100,10
94,0.69,0.69,0.3,0.1,3,1,10
95,0.69,0.69,0.3,0.1,3,10,10
96,0.69,0.68,0.3,0.1,3,100,10
97,0.71,0.7,0.3,0.1,4,1,10
98,0.7,0.7,0.3,0.1,4,10,10
99,0.69,0.68,0.3,0.1,4,100,10
100,0.69,0.68,0.3,0.15,2,1,10
101,0.69,0.68,0.3,0.15,2,10,10
102,0.68,0.68,0.3,0.15,2,100,10
103,0.7,0.7,0.3,0.15,3,1,10
104,0.7,0.7,0.3,0.15,3,10,10
105,0.69,0.69,0.3,0.15,3,100,10
106,0.72,0.71,0.3,0.15,4,1,10
107,0.71,0.71,0.3,0.15,4,10,10
108,0.7,0.69,0.3,0.15,4,100,10
109,0.65,0.65,0.3,0.001,2,1,50
110,0.65,0.65,0.3,0.001,2,10,50
111,0.64,0.64,0.3,0.001,2,100,50
112,0.67,0.66,0.3,0.001,3,1,50
113,0.67,0.66,0.3,0.001,3,10,50
114,0.66,0.66,0.3,0.001,3,100,50
115,0.68,0.67,0.3,0.001,4,1,50
116,0.68,0.67,0.3,0.001,4,10,50
117,0.66,0.66,0.3,0.001,4,100,50
118,0.72,0.72,0.3,0.1,2,1,50
119,0.72,0.72,0.3,0.1,2,10,50
120,0.71,0.71,0.3,0.1,2,100,50
121,0.74,0.73,0.3,0.1,3,1,50
122,0.74,0.73,0.3,0.1,3,10,50
123,0.73,0.72,0.3,0.1,3,100,50
124,0.76,0.74,0.3,0.1,4,1,50
125,0.75,0.74,0.3,0.1,4,10,50
